default
thread_num, i
1, 17
2, 33
1, 18
2, 34
1, 19
1, 20
2, 35
1, 21
0, 0
1, 22
2, 36
1, 23
2, 37
1, 24
0, 1
1, 25
1, 26
1, 27
1, 28
2, 38
1, 29
1, 30
1, 31
1, 32
2, 39
0, 2
2, 40
2, 41
0, 3
2, 42
0, 4
2, 43
2, 44
0, 5
2, 45
0, 6
2, 46
2, 47
0, 7
2, 48
0, 8
0, 9
0, 10
0, 11
0, 12
0, 13
0, 14
0, 15
0, 16
3, 49
3, 50
3, 51
3, 52
3, 53
3, 54
3, 55
3, 56
3, 57
3, 58
3, 59
3, 60
3, 61
3, 62
3, 63
3, 64
static chunk 1
thread_num, i
3, 3
1, 1
0, 0
3, 7
1, 5
3, 11
2, 2
1, 9
3, 15
1, 13
3, 19
2, 6
3, 23
2, 10
1, 17
2, 14
3, 27
0, 4
2, 18
3, 31
2, 22
1, 21
0, 8
1, 25
1, 29
2, 26
0, 12
3, 35
0, 16
1, 33
1, 37
0, 20
3, 39
1, 41
2, 30
3, 43
0, 24
3, 47
1, 45
3, 51
0, 28
1, 49
1, 53
3, 55
2, 34
3, 59
0, 32
3, 63
1, 57
0, 36
2, 38
0, 40
2, 42
1, 61
2, 46
0, 44
2, 50
2, 54
2, 58
2, 62
0, 48
0, 52
0, 56
0, 60
0, 64
static chunk 4
thread_num, i
2, 8
1, 4
2, 9
2, 10
2, 11
2, 24
1, 5
2, 25
1, 6
2, 26
3, 12
2, 27
2, 40
2, 41
0, 0
1, 7
2, 42
3, 13
0, 1
3, 14
2, 43
0, 2
1, 20
2, 56
0, 3
3, 15
2, 57
1, 21
0, 16
3, 28
2, 58
1, 22
1, 23
3, 29
2, 59
1, 36
3, 30
1, 37
3, 31
1, 38
0, 17
3, 44
0, 18
1, 39
0, 19
1, 52
1, 53
1, 54
3, 45
1, 55
0, 32
0, 33
0, 34
3, 46
0, 35
3, 47
0, 48
0, 49
3, 60
0, 50
3, 61
0, 51
3, 62
0, 64
3, 63
dynamic chunk 1
thread_num, i
3, 3
1, 1
2, 2
0, 0
3, 4
1, 5
1, 7
0, 6
2, 8
3, 9
1, 10
2, 11
3, 12
1, 13
2, 14
3, 15
1, 16
2, 17
3, 19
0, 18
1, 20
3, 22
0, 23
2, 21
0, 24
3, 25
0, 26
1, 27
3, 28
2, 29
0, 30
3, 32
1, 31
0, 34
1, 35
1, 37
1, 38
0, 36
1, 39
1, 40
1, 41
1, 42
1, 43
1, 45
1, 46
0, 44
1, 47
1, 49
0, 48
1, 50
1, 52
0, 51
1, 53
1, 54
1, 55
1, 57
3, 56
1, 59
3, 60
1, 61
0, 58
3, 62
1, 63
0, 64
2, 33
dynamic chunk 4
thread_num, i
3, 4
2, 8
1, 12
0, 0
3, 5
2, 9
1, 13
3, 6
2, 10
1, 14
3, 7
2, 11
1, 15
0, 1
1, 16
3, 20
0, 2
1, 17
2, 24
3, 21
0, 3
3, 22
1, 18
3, 23
0, 28
2, 25
3, 32
2, 26
0, 29
3, 33
2, 27
0, 30
3, 34
0, 31
2, 36
0, 40
2, 37
0, 41
2, 38
0, 42
0, 43
2, 39
0, 44
2, 48
2, 49
0, 45
2, 50
0, 46
2, 51
0, 47
3, 35
2, 52
0, 56
3, 60
3, 61
0, 57
3, 62
2, 53
0, 58
3, 63
2, 54
0, 59
3, 64
2, 55
1, 19
guided chunk 1
thread_num, i
2, 0
1, 8
3, 15
0, 21
1, 9
3, 16
2, 1
3, 17
1, 10
0, 22
3, 18
2, 2
0, 23
3, 19
0, 24
1, 11
3, 20
2, 3
0, 25
3, 26
0, 30
2, 4
3, 27
1, 12
2, 5
3, 28
2, 6
0, 31
1, 13
3, 29
0, 32
2, 7
1, 14
0, 33
3, 34
2, 37
0, 40
2, 38
3, 35
2, 39
0, 41
3, 36
2, 45
2, 46
1, 43
3, 47
2, 49
0, 42
3, 48
1, 44
0, 51
3, 52
1, 53
3, 54
1, 55
2, 50
0, 56
1, 57
0, 58
3, 59
1, 62
0, 61
3, 63
0, 64
2, 60
guided chunk 4
thread_num, i
0, 0
1, 15
3, 8
0, 1
1, 16
0, 2
1, 17
3, 9
0, 3
1, 18
3, 10
0, 4
1, 19
0, 5
0, 6
3, 11
1, 20
0, 7
1, 26
2, 21
0, 30
1, 27
3, 12
0, 31
1, 28
3, 13
1, 29
0, 32
3, 14
2, 22
0, 33
0, 38
1, 34
2, 23
3, 42
1, 35
1, 36
1, 37
2, 24
0, 39
3, 43
1, 46
2, 25
3, 44
0, 40
1, 47
3, 45
2, 50
0, 41
3, 54
1, 48
2, 51
0, 58
2, 52
1, 49
3, 55
2, 53
1, 62
1, 63
0, 59
3, 56
1, 64
0, 60
3, 57
0, 61
